PMCID,Plant,Compound,TPS nomenclature,
PMC7459318,Vitis vinifera,not mentioned,Yes,
PMC7484799,,Yes,Yes,M. larici-populina
PMC7504178,Spearmint,Yes,Yes,
PMC7465836,Cucumis sativus,not mentioned,Yes,
PMC7419205,Chimonanthus praecox,Yes,Yes,
PMID: 32771161,Ficus carica,Yes,Yes,
PMC7432446,Dendrobium officinale,Yes,Yes,
PMID: 32726442,Lathyrus odoratus,Yes,Yes,
PMC7417412,Poaceae,not mentioned,Yes,
PMC7332032,Plectranthus amboinicus,Yes,Yes,
PMC7356763,Chimonanthus praecox,Yes,Yes,
PMC7293187,Cinnamomum burmannii,Yes,Yes,
PMC7305226,Daucus carota ,Yes,Yes,
PMC7352595,Pseudotaxus chienii,not mentioned,Yes,
PMC7321343,Vitis,Yes,Yes,
PMC7279377,,not mentioned,not mentioned,candida
PMC7216305,Vitis vinifera,not mentioned,Yes,
PMC7286024,Vitis vinifera,Yes,not mentioned,
PMC7227769,,Yes,No,Fungus
PMC7290806,Vitis vinifera,Yes,Yes,
PMC7299927,Cucumis sativus,Yes,Yes,
PMC7163982,,Yes,Yes,Poster Presentations
PMC7238224,Arabidopsis,not mentioned,not mentioned,
PMC7497057,Setaria italica,not mentioned,Yes,
PMC7180759,Clematis florida,Yes,Yes,table
PMC7125107,Litsea cubeba,Yes,Yes,
PMC7230838,Osmanthus fragrans,Yes,not mentioned,
PMC7154873,Salvia hispanica,Yes,Yes,
PMC7062797,Camellia sinensis,Yes,Yes,
PMID: 32184346,Actinidia chinensis,Yes,Yes,
PMC7067565,,not mentioned,not mentioned,"A. thaliana, E. coli,"
PMC7072466,Camellia sinensis,Yes,Yes,
PMC7029581,Matricaria recutita (German chamomile) and Chamaemelum nobile ,not mentioned,Yes,
PMC6986057,Vitis vinifera,not mentioned,Yes,
PMC6986037,Zanthoxylum armatum,not mentioned,Yes,
PMC6976640,Camellia sinensis,Yes,Yes,
PMC7013532,Camellia sinensis,Yes,Yes,
PMC7422722,Solanum lycopersicum,Yes,Yes,
PMC6941427,Camellia sinensis,Yes,no,
PMC6945444,citrus,Yes,Yes,
PMC7015852,N. colorata,Yes,Yes,
PMC6902781,,Yes,Yes,Physarum polycephalum
PMC6941020,Cinnamomum porrectum.,Yes,Yes,
PMC6995508,Camellia sinensis,Yes,Yes,
PMC7206992,Coriandrum sativum,Yes,Yes,
PMC6804824,Lilium,Yes,Yes,
PMC6796385,Chilo auricilius,Yes,Yes,
PMC6761604,Panicum virgatum,Yes,Yes,
PMC6767024,Camellia sinensis,Yes,not mentioned,
PMC6742361,Cannabis sativa,Yes,Yes,
PMC6863749,Eucalyptus grandis,Yes,not mentioned,
PMID: 31481200,Prunus dulcis,Yes,Yes,
PMC6747315,Camellia sinensis,Yes,Yes,
PMC6707303,A. thaliana,not mentioned,Yes,
PMC6707142,,Yes,no,yeast
PMC6723042,Thymus,not mentioned,Yes,
PMC6679452,Cymbidium goeringii,Yes,Yes,
PMC6656997,,not mentioned,not mentioned,fungus
PMC6680504,Citrus medica,Yes,Yes,
PMC6678411,Platanus acerifolia,Yes,Yes,
PMC6632208,Lavandula angustifolia,Yes,Yes,
PMC6543703,Zanthoxylum piperitum,Yes,Yes,
PMC6642400,Nicotiana attenuata,Yes,Yes,
PMC6651613,Populus trichocarpa,Yes,Yes,
PMC6592883,,Yes,Yes,fungi
PMC6580502,Eucalyptus globulus,not mentioned,not mentioned,
PMC6598649,Plants,Yes,Yes,
PMC6544981,,not mentioned,Yes,bacteria
PMC6563135,Protium copal,not mentioned,Yes,
PMC6531464,Populus nigra,Yes,Yes,
PMC6524965,Dictyostelium discoideum,Yes,Yes,
PMC6367160,Plants,not mentioned,Yes,
PMC6437863,Santalum album,Yes,Yes,
PMC6417135,Citrus,Yes,Yes,
PMC6393351,Vitis vinifera,Yes,Yes,
PMC6399326,Dalbergia odorifera,not mentioned,Yes,
PMC6473938,Lycoris longituba,Yes,Yes,
PMC6352525,Ocimum species,Yes,Yes,
PMC6850102,C. stoebe,Yes,Yes,
PMC6355774,Solanum lycopersicum,Yes,not mentioned,
PMC6345374,Eucalyptus globulus,Yes,Yes,
PMC6404600,Ferula assafoetida,not mentioned,Yes,
PMC6784883,Cinnamomum kanehirae,not mentioned,Yes,
PMC6299004,Populus trichocarpa,Yes,Yes,
PMC6287202,Quercus robur,not mentioned,Yes,
PMC6320843,Cyperus iria ,Yes,not mentioned,
PMC6240891,Pelargonium,not mentioned,Yes,
PMC6246602,Osmanthus fragrans,Yes,Yes,
PMC6231246,,not mentioned,not mentioned,fungus
PMC6239295,Ocimum sanctum,not mentioned,Yes,
PMC6278268,Scutellaria barbata,not mentioned,Yes,
PMC6198442,,Yes,Yes,Coniophora puteana
PMC6214137,S. lycopersicum,not mentioned,Yes,
PMID: 30305556,A. sciadophylloides Franch,not mentioned,Yes,
PMC6156593,,Yes,Yes,Dictyostelids
PMID: 30218384,Lilium ‘Siberia’ ,Yes,Yes,
PMC6163538,S. lycopersicum,Yes,Yes,
PMC6117411,R. tomentosa,Yes,Yes,
PMC6128898,Trachyspermum ammi,not mentioned,Yes,
PMC6289780,Salvia guaranitica,Yes,Yes,
PMC6110934,Maize and Barley,Yes,Yes,
PMC6124719,P. tuberosa,Yes,Yes,
PMC6140472,M. histrionica,Yes,Yes,insect
PMC6102311,Camellia hiemalis,Yes,Yes,
PMC6121529,M. canadensis,not mentioned,not mentioned,
PMC6100529,Osmanthus fragrans,not mentioned,Yes,
PMC6093345,Phalaenopsis bellina,Yes,Yes,
PMC6020762,Amomum villosum,Yes,Yes,
PMC6093421,Freesia x hybrida ,Yes,Yes,
PMC6100370,P. minus,not mentioned,Yes,
PMC6110340,Arabidopsis thaliana,not mentioned,Yes,
PMC5984618,R. chinensis,Yes,not mentioned,
PMC5927414,,not mentioned,Yes,T. atroviride
PMC5876372,Lilium ‘Siberia’,Yes,Yes,
PMC5842272,,Yes,Yes,Review
PMC6131416,rice,Yes,Yes,
PMC5802726,citrus,not mentioned,not mentioned,
PMC5777610,Ocimum basilicum,Yes,Yes,
PMC5777606,Solanum lycopersicum,Yes,Yes,
PMC5767561,,Yes,not mentioned,E. coli DH1
PMC5761147,,not mentioned,Yes,
AGR: IND605603677,Jasminum sambac,Yes,not mentioned,
PMC6014366,,not mentioned,not mentioned,
PMC5703079,Lycopersicon esculentum,Yes,Yes,
PMC5694497,Vitex genus,Yes,not mentioned,
PMC5693887,,Yes,not mentioned,
PMC5684173,Daucus carota,Yes,Yes,
PMC5700130,Salvia officinalis,Yes,Yes,
PMC5700745,Lilium,not mentioned,Yes,
PMC5683525,maize,not mentioned,Yes,
PMC6345376,,not mentioned,Yes,
PMID: 29075872,Camelina sativa,Yes,Yes,
PMC5641392,Maize lines,not mentioned,,
PMC5681606,Arabidopsis thaliana,Yes,Yes,
PMID: 29044662,Gossypium hirsutum,Yes,Yes,
PMC5853461,sweet orange,Yes,Yes,
PMC5853251,cucumber,Yes,not mentioned,
PMC5573811,Citrus sinensis,Yes,Yes,
PMC5584320,Chrysanthemum morifolium,not mentioned,Yes,
PMC5568196,Citrus reticulata,Yes,Yes,
PMC5543080,Lilium,Yes,not mentioned,
PMC5562797,Pinus contorta,Yes,Yes,
PMC5562913,Mangifera indica,not mentioned,Yes,
PMC5576791,Nicotiana attenuata,Yes,Yes,
PMC5495837,Tomato,Yes,not mentioned,
PMID: 28722114,Prunus persica ,Yes,Yes,
PMC5530694,Plants,not mentioned,Yes,
PMC5850473,Arabidopsis,Yes,Yes,
PMC5471912,champak,Yes,Yes,
PMC5442961,,not mentioned,not mentioned,
PMC5785346,Artemisia annua,Yes,not mentioned,
PMC5432621,Vitis vinifera,not mentioned,not mentioned,
PMC5449406,rice,not mentioned,Yes,
PMC5404360,Salvia miltiorrhiza,Yes,Yes,
PMC5395458,Zea mays,Yes,Yes,
PMID: 28370092,P. lunatus,Yes,Yes,
PMC6154332,J. sambac,Yes,Yes,
PMC4362742,,not mentioned,Yes,Review
PMC5341033,Murraya koenigii,Yes,Yes,
PMC5333544,Persicaria minor,Yes,Yes,
PMC5289981,Rice,Yes,Yes,
PMC5281624,Vitis vinifera,not mentioned,Yes,
PMID: 28190677,Lavandula angustifolia,not mentioned,Yes,
PMID: 28167035,Jasminum sambac,Yes,Yes,
PMC5122590,Arabidopsis,Yes,Yes,
PMC5087002,Plants,Yes,Yes,
PMC5087028,D. discoideum,Yes,Yes,
PMC5362686,"soybean, apple",Yes,Yes,
PMC5083917,Osmanthus fragrans,not mentioned,Yes,
PMC6272835,Litsea cubeba,not mentioned,not mentioned,
PMID: 27561253,,Yes,not mentioned,
PMC4963619,C. flexuosus,not mentioned,Yes,
PMC4934395,Gongora orchids,Yes,not mentioned,
PMC4861830,Artemisia annua,Yes,Yes,
PMC6274141,Valeriana fauriei,Yes,not mentioned,
PMC4803801,tree species,Yes,not mentioned,
PMC5301923,citrus,Yes,Yes,
PMC4822282,Sambucus nigra,not mentioned,not mentioned,
PMC4802899,V. vinifera,not mentioned,Yes,
AGR: IND601259759,Lavandula pedunculata,Yes,Yes,
PMC5295635,Maize,Yes,Yes,
PMC4801258,Brassica juncea,Yes,Yes,
PMC4757406,,Yes,Yes,fungus
PMC4709469,Osmanthus fragrans,Yes,Yes,
PMC4711449,medicinal plants,Yes,not mentioned,
PMC4737078,Vitis vinifera,Yes,Yes,
PMC4737073,Vitis vinifera,Yes,Yes,
PMC4654506,Syringa oblata,not mentioned,Yes,
PMC4645219,Camellia sinensis,Yes,Yes,
PMC4625925,Populus trichocarpa,not mentioned,Yes,
PMC4595271,Vitis vinifera,Yes,Yes,
PMC4588909,Camellia sinensis,Yes,not mentioned,
PMC4492009,Solanum elaeagnifolium,Yes,not mentioned,
PMC4472261,Hedychium coronarium,Yes,Yes,
PMC4464248,Eucalyptus,not mentioned,not mentioned,
PMC4445982,Ocimum sanctum,Yes,Yes,
PMC4438586,Nicotiana benthamiana,not mentioned,Yes,
PMC4433141,Eucalyptus,not mentioned,Yes,
PMC4473991,C. odorata,Yes,Yes,
PMC4415311,Phaseolus lunatus,Yes,Yes,
PMC4397498,Nicotiana attenuata,Yes,Yes,
PMC4364678,Solanum lycopersicum,not mentioned,Yes,
PMC4347605,Achillea millefolium,Yes,Yes,
PMC4506461,Arabidopsis thaliana,Yes,Yes,
PMC4375501,,Yes,Yes,fungus
PMC4273207,,Yes,not mentioned,Database
PMC4232691,Mentha spicata,Yes,Yes,
PMC4197230,Populus trichocarpa,Yes,Yes,
PMC4172859,Oryza,Yes,Yes,
PMC4190577,Nicotiana attenuata,Yes,Yes,
PMC4126464,,Yes,not mentioned,Synechococcus sp.
PMC4125705,Ocimum,not mentioned,Yes,
PMID: 24943828,Lavandula,Yes,Yes,
PMC4032488,Solanum lycopersicum,Yes,Yes,
PMID: 24752813,Solanum lycopersicum,Yes,Yes,
PMC3969365,,not mentioned,Yes,Ecoli
PMC4277265,Pinus,not mentioned,Yes,
PMC4883687,rice,not mentioned,Yes,
PMC4007517,Quercus robur,Yes,not mentioned,
PMC3790869,G. max,Yes,Yes,
PMID: 24074555,Gossypium hirsutum,Yes,Yes,
PMC3775748,Boechera stricta,not mentioned,Yes,
PMC3694093,plants,Yes,Yes,
PMC3650682,Selaginella,Yes,Yes,
PMC3668260,Pinus,Yes,Yes,
PMC3638147,Vaccinium macrocarpon,Yes,Yes,
PMC3635961,A. sinensis,Yes,Yes,
PMID: 23512856,Arabidopsis,Yes,Yes,
PMC3570303,maize,Yes,Yes,
PMC3525583,ginger and turmeric,Yes,Yes,
PMID: 23256150,Apple,Yes,Yes,
PMC3437839,Selaginella moellendorffii,Yes,Yes,
PMC3394800,Snapdragon,Yes,not mentioned,
PMC3423072,chamomile,Yes,Yes,
PMC3466413,Solanum habrochaites,Yes,Yes,
PMC3268506,Arabidopsis,Yes,Yes,table compounds and TPS
PMC3243410,Arabidopsis,Yes,not mentioned,Review
PMC3346237,Salvia miltiorrhiza,not mentioned,not mentioned,
PMC3346232,Alstroemeria,Yes,Yes,
PMC3295389,Actinidia chinensis,Yes,Yes,
PMC3195254,,not mentioned,Yes,Ecoli
PMID: 21880075,"sorghum, grass",Yes,Yes,
PMC3193516,Tomato,Yes,Yes,
PMID: 21492885,Populus trichocarpa,Yes,Yes,
PMC3093818,Santalum,Yes,Yes,
PMC3058080,Picea spp.,Yes,Yes,
PMC3001579,Lavender,not mentioned,not mentioned,Review
PMID: 20463089,Arabidopsis,Yes,Yes,
PMC2892144,Arabidopsis thaliana,Yes,Yes,
PMC2798659,,1 compound,1 tps,fungus
PMC2710562,Medicago truncatula,Yes,Yes,
PMC2718223,Actinidia deliciosa,Yes,Yes,
PMC2705528,,not mentioned,Yes,Review
PMC2705607,tomato,Yes,Yes,
PMC2687518,Arabidopsis lyrata,Yes,Yes,
PMC2659225,Apple,not mentioned,Yes,
PMC2459234,Pinus,Yes,Yes,
PMC2242725,Picea,not mentioned,Yes,
PMID: 15618433,Picea sitchensis,Yes,Yes,
PMID: 15310829,Picea abies,Yes,Yes,
PMC2756395,Medicago truncatula,Yes,Yes,
PMC1876254,Lycopersicon esculentum,Yes,Yes,
PMC22624,Abies grandis,Yes,Yes,
PMC22453,,not mentioned,Yes,Review
PMC3095273,Picea glauca,Yes,not mentioned,
PMC2835961,Actinidia deliciosa,Yes,Yes,
PMID: 20002329,lavender,Yes,Yes,
PMC2634570,,not mentioned,not mentioned,Review
PMC2634321,M. truncatula,Yes,Yes,Review
PMC3071761,Curcuma longa,Yes,not mentioned,
