LINKS,PMCID,Plant,,Keypoints,Keypoints,Keypoints,Compound,TPS nomenclature
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861536/ ,PMC7861536,citrus,Suppli,Allelic composition of carotenoid metabolic genes,NON TPS PAPER,,suppl fig,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ ,PMC7866031,Populus trichocarpa,Suppli,Sesquiterpene Synthase,E. coli BL21 transformed with the plasmid construct for PtTPS5,,"(1S,5S,7R,10R)-guaia-4(15)-en-11-ol and (1S,7R,10R)-guaia-4-en-11-ol, (1S,5S,7R,10R)-guaia-4(15)-en-11-ol, (1S,7R,10R)-guaia-4-en-11-ol, hedycaryol",PtTPS5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ ,PMC7815096,,Suppli,A novel terpene synthase controls pheromone production,Novel TPS enzymes demonstrate that chemical convergence has independent evolutionary origins.,,fig 3,Fig Suppl
https://doi.org/10.1016/j.jplph.2020.153358 ,PMID: 33453433,Albizia julibrissin,NA,Five TPSs produces volatile,,,,"AjTPS2, AjTPS5, AjTPS7, AjTPS9 and AjTPS10"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ ,PMC7826640,,Suppli,Characterization and Function of 8 Microbial Type TPS,,,fig 5,Fig Suppl S1 S2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/ ,PMC7794574,Passiflora edulis,Suppli,genome ,,,Suppl table,Fig 5 Sup Fig17
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ ,PMC7705728,Daucus carota,Suppli,carrot monoterpene synthase gene cluster,sabinene synthase,,Suppl S1,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/ ,PMC7724791,Tanacetum vulgare,Suppli,volatilome and transcriptome analysis,under herbivore attack,,Suppl Table S1 S2,Ph Fig S4
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ ,PMC7698779,Freesia hybrida,Suppli,Volatile Compounds and Gene Expression,linalool was the major volatile compound,,Table 2,txt fig 4
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ ,PMC7696289,Stevia rebaudiana,Suppli,"SrTPS5 predominantly formed himachalol, _-himachalene, and _-longipinene",root-specific SrTPS4 and SrTPS5 catalyzed the formation of _-curcumene/zingiberene/_-sesquiphellandrene and _-longipinene/_-himachalene/himachalol as multifunctional sesqui-TPSs,"_-farnesene most abundant in stem, SrTPS4 catalyzed the formation of _-curcumene, zingiberene, and _-sesquiphellandrene",S1,Ph Fig S2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/ ,PMC7591569,Prunus persica,Suppli,Fruit volatilome in response to cold storage.,"PpTPS1 produces linalool while PpTPS2 is responsible for (E,E)-_-farnesene biosynthesis",,Table 3 Suppl,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552398/ ,PMC7552398,Alternanthera philoxeroides,Suppli,beetle increases nerolidol synthase gene expression,"beetle Agasicles hygrophila uses a volatile (E)-4,8-dimethyl-1,3,7-nonanetriene (DMNT) to recognize its host",,not mentioned,txt fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/ ,PMC7582308,Dendrobium officinale,Suppli,Geraniol Synthase in Floral Scent,high content of linalool in Osmanthus fragrans ‘Dangui’ petals is caused by the overexpression of mono-TPS (LIS1,,,S2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459318/ ,PMC7459318,Vitis vinifera,Suppli,postharvest dehydration of grape berries induces TPS,,,not mentioned,VvTPS07
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/ ,PMC7484799,Melampsora ,Suppli,Evolution of isoprenyl diphosphate synthase-like terpene synthases in fungi,IDS-like TPSs,,Fig 4c e,Table1 Ph Fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/ ,PMC7504178,Spearmint,Suppli,Transgenic Lines Expressing Heterologous TPSs,,,Fig & table,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465836/ ,PMC7465836,Cucumis sativus,NA,CsTPS9 and CsTPS19 were induced in leaves upon spider-mite feeding,,,not mentioned,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ ,PMC7419205,Chimonanthus praecox,Suppli,genome ,,,S17 S18 Suppl note1,Fig 5 Table S10 S19
https://doi.org/10.1016/j.plantsci.2020.110549 ,PMID: 32771161,Ficus carica,NA,TPSs involved in fly interaction with Fig,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7432446/ ,PMC7432446,Dendrobium officinale,Suppli,Geraniol and Linalool in Flowers,,,not mentioned,Table 1 Ph Fig 3 S12
https://doi.org/10.1093/pcp/pcaa100 ,PMID: 32726442,Lathyrus odoratus,NA,"LoTPS4, LoTPS3, LoTPS8 and LoTPS7 biosynthesised monoterpenes and sesquiterpenes",LoTPS12 belonging to the TPS-g showed linalool/nerolidol synthase activity,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ ,PMC7417412,Poaceae,Suppli,"Based on their sequence similarity, terpene synthases from land plants can be divided into different subfamilies, TPS-a to TPS-h.",TPS-a subfamily consists of five well-defined clades I–V,"clade I and II function as sesquiterpene synthases, clade III mainly act as monoterpene synthases",Table 1 Fig 3 4,Fig 1 5 Table 1
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ ,PMC7332032,Plectranthus amboinicus,Suppli,"new TPS from Plectranthus:isolation, heterologous expression and functional characterization",PamTps1 was classified as a linalool/nerolidol synthase,PamTps1 was clustered with the Tpsb subfamily as expected for a predicted monoterpene synthase,Table 1 Fig 3 4,Fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ ,PMC7356763,Chimonanthus praecox,Suppli,CpMYC2 and CpbHLH13 of wintersweet regulate biosynthesis of linalool and sesquiterpene (_-caryophyllene),sesquiterpene synthase genes TPS21 and TPS11 through interacting with the DELLA proteins,,Fig 6 7 8 9,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ ,PMC7293187,Cinnamomum burmannii,Suppli,candidate genes in borneol biosynthesis,,,S4 S19,Fig S2 Data S17
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ ,PMC7305226,Daucus carota ,Suppli,functionally characterized 19 TPS in carrot,"germacrene D (DcTPS7/11), _-terpinene (DcTPS30) and _-terpinolene (DcTPS03).",,Fig 1 4 5 Suppl,Table 1 Ph Fig 2 Suppl
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/ ,PMC7352595,Pseudotaxus chienii,Suppli,Transcriptomes of Multiple Organs in Pseudotaxus chienii,,,not mentioned,Fig. 7 Table S15 16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ ,PMC7321343,Vitis,Suppli,Effect of Thidiazuron on Terpene Volatile,,,Table S1 Fig S3,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279377/ ,PMC7279377,,Suppli,FALSE negative,,,not mentioned,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216305/ ,PMC7216305,Vitis vinifera,Suppli,Comparative (Within Species) Genomics of the V vinifera TPS,Cytoscape network representing all metadata ,,not mentioned,Fig 5 6 7 8 9 Suppl Table 1
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286024/ ,PMC7286024,Vitis vinifera,Suppli,Abscisic Acid and Synthetic Auxin affecting Transcriptome and Flavor Compounds,,,Fig 7 S1 S2 S3,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227769/ ,PMC7227769,,NA,FALSE negative,,,not mentioned,No
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290806/ ,PMC7290806,Vitis vinifera,Suppli,VviWRKY40 Regulates Glycosylated Monoterpenoid Production,,,S1,No
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7299927/ ,PMC7299927,Cucumis sativus,Suppli,Transcriptional and metabolite analysis in response to spider-mite infestation,"identified regulators of herbivore-induced terpenoid, green-leaf volatiles and cucurbitacin biosynthesis",,Fig 1d,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/ ,PMC7163982,,NA,FALSE negative,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238224/ ,PMC7238224,Arabidopsis,Suppli,isoprene and ocimene emitters resulted in enhanced PLA and biomass,,,not mentioned,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ ,PMC7497057,Setaria italica,Suppli,foxtail millet (Setaria italica) terpene synthase gene family,,,Fig 2 3 4 6 7,Fig 1a 8 S1 S2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ ,PMC7180759,Clematis florida,Suppli,Composition and Biosynthesis of Scent Compounds,,,Fig 1 2 Table 1,Fig 4 5 6 7
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ ,PMC7125107,Litsea cubeba,Suppli,genome,,,Suppl Table 18 29,Fig 5 Suppl Table 30 31 33
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230838/ ,PMC7230838,Osmanthus fragrans,Suppli,"Genome-Wide Identification, Classification, and Expression Profiling Reveals R2R3-MYB Transcription Factors Related to Monoterpenoid",,,Suppl file 7,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ ,PMC7154873,Salvia hispanica,Suppli,Tissue-Specific Transcriptome and Identification of Genes Involved in Terpenoid,,,txt,Ph Fig 6
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ ,PMC7062797,Camellia sinensis,Suppli,"UV-B Induces Flavonoid, and Terpenoids Pathways",,,Fig 6,Fig 5
https://doi.org/10.1104/pp.20.00186 ,PMID: 32184346,Actinidia chinensis,NA,Characterization of Volatile Terpene Production,"AcTPS1b expression correlated with 1,8-cineole content in developing/ripening fruit",,txt,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067565/ ,PMC7067565,,Suppli,,,,not mentioned,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ ,PMC7072466,Camellia sinensis,Suppli,Integrative Transcriptomic and Metabolic Analyses,,,Table 3,Fig 5D
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029581/ ,PMC7029581,Matricaria recutita (German chamomile) and Chamaemelum nobile ,Suppli,Phytochemical and comparative transcriptome analyses,,,not mentioned,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986057/ ,PMC6986057,Vitis vinifera,Suppli,transcriptomics identifies environmental signatures,,,not mentioned,Fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986037/ ,PMC6986037,Zanthoxylum armatum,Suppli,De novo transcriptome assembly for the five major organs,,,not mentioned,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ ,PMC6976640,Camellia sinensis,Suppli,Analysis of abiotic stress responsive TPSs,"Under the treatments of cold acclimation, salt and polyethylene glycol, CsTPS67, -69 and -71 were all suppressed",,Fig 4 6,Ph Fig 2 3 5 Table 1 suppl table S2 S3
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ ,PMC7013532,Camellia sinensis,Suppli,Scenarios of Genes-to-Terpenoids Network,"Forty-one terpenes including 26 monoterpenes, 14 sesquiterpenes and one triterpene were detected and 82 terpenes related geneswere identified ","TPS2 is involved in the biosynthesis _-farnesene, _-ocimene and _-farnesene in C. sinensis plants",Fig 6,Fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ ,PMC7422722,Solanum lycopersicum,Suppli,complete functional characterisation of TPSs,,,S2 S16,Ph Fig 1 2 Table S3 S7
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941427/ ,PMC6941427,Camellia sinensis,Suppli,Transcriptome and Phytochemical Analyses,TPS are regulated by three lncRNAs,,Table 1,no
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ ,PMC6945444,citrus,Suppli,Transcriptomic and metabolomic analyses,,,Fig 5 S10 Table 1 S1 S3 S5,Table S10
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ ,PMC7015852,N. colorata,Suppli,genome,,,Suppl,Fig 4 Ph Fig 7
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ ,PMC6902781,,Suppli,Emission and biosynthesis of volatile terpenoids,,,Fig 1,Fig 2 Ph Fig 4
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ ,PMC6941020,Cinnamomum porrectum.,Suppli,Transcriptome Sequencing and Different Chemotype Expression Profile Analysis of Genes Related to Monoterpenoid,,,Table 1,Fig 5 6 7
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ ,PMC6995508,Camellia sinensis,Suppli,Characterization of TPS from Tea,,,Fig 6,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ ,PMC7206992,Coriandrum sativum,Suppli,genome,,,Table S49,Fig 6 7
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ ,PMC6804824,Lilium,Suppli,Volatile composition and classification of Lilium flower aroma types and mono TPSs,,,Suppl Table 1 2,Fig 1 Suppl fig 2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ ,PMC6796385,Chilo auricilius,Suppli,Characterizing potential repelling volatiles,,,Table 1,Fig S1
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ ,PMC6761604,Panicum virgatum,Suppli,"volatile emissions include PvTPS03 [(E)-_-bisabolene synthase], PvTPS10 (_-patchoulene synthase), PvTPS17, and PvTPS20 [(E)-_-bisabolene synthases], and TPS53 (geraniol synthase). Emission of germacrene D from roots may be associated with PvTPS55",Synteny and orthology of TPS,,Fig 6,Ph Fig 3 Fig 7 Table 1 Suppl Table 2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767024/ ,PMC6767024,Camellia sinensis,Suppli,Transcriptome and Metabolite Profiling Reveal Novel Insights into Volatile Heterosis,,,Table 1 S3,not mentioned
