LINKS,PMCID,Plant,Compound,TPS nomenclature,blank means mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ ,PMC7015852,N. colorata,Supple,Fig 4 Ph Fig 7,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ ,PMC6902781,,Fig 1,Fig 2 Ph Fig 4,Physarum polycephalum,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ ,PMC6941020,Cinnamomum porrectum.,Table 1,Fig 5 6 7,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ ,PMC6995508,Camellia sinensis,Fig 6,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ ,PMC7206992,Coriandrum sativum,Table S49,Fig 6 7,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ ,PMC6804824,Lilium,Supple Table 1 2,Fig 1 Supple fig 2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ ,PMC6796385,Chilo auricilius,Table 1,Fig S1,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ ,PMC6761604,Panicum virgatum,Fig 6,Ph Fig 3 Fig 7 Table 1 Supple Table 2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/ ,PMC6742361,Cannabis sativa,Fig 3,Fig 4 6 7,,"Genomic characterization of TPS family, Terpene correlation plot, Tissue specific TPS express, Fig 3, Fig 4 6 7"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/ ,PMC6747315,Camellia sinensis,Fig 2 3 5,"(E)-_-ocimene synthase in Antirrhinum majus belongs to the TPS-g subfamily [39], (E)-_-farnesene synthase in Mentha _ piperita belongs to the TPS-a subfamily [40], _-farnesene synthase in Pinus taeda and (E,E)-_-farnesene synthase in Picea abies belong to the TPS-d1 subfamily [38,41], and MdAFS coding (E,E)-_-farnesene synthase in Malus domestica belongs to the TPS-b subfamily",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/ ,PMC6679452,Cymbidium goeringii,Table 1 Fig 1,Fig 5,,https://europepmc.org/articles/PMC6679452/bin/12870_2019_1940_MOESM8_ESM.docx
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/ ,PMC6680504,Citrus medica,Fig 2 Table S1 Fig S4,Fig 4 6 8 9,,https://europepmc.org/articles/PMC6680504/bin/molecules-24-02564-s001.zip
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/ ,PMC6678411,Platanus acerifolia,,Fig S3 Table S8,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/ ,PMC6632208,Lavandula angustifolia,"Among these volatile chemicals, cis-3-hexen-1-ol and 1,8-cineole were found to significantly attract C. ciliata, whereas trans- _-caryophyllene repelled this insect pest",Fig 8,,useless suppl
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/ ,PMC6543703,Zanthoxylum piperitum,Fig 2 3 Supple S1,,,Extract all figues
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/ ,PMC6642400,Nicotiana attenuata,All fig,,,https://www.pnas.org/content/suppl/2019/06/29/1818585116.DCSupplemental
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/ ,PMC6592883,,Fig 4 5 6,Fig 1,fungi,https://europepmc.org/articles/PMC6592883/bin/41598_2019_45532_MOESM1_ESM.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/ ,PMC6598649,Plants,Fig 2 S2 Fig,,,https://europepmc.org/articles/PMC6598649/bin/ppat.1007897.s001.tif 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/ ,PMC6531464,Populus nigra,,,,https://europepmc.org/articles/PMC6531464/bin/41598_2019_43931_MOESM1_ESM.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/ ,PMC6524965,Dictyostelium discoideum,Fig 2,Fig 7,,useless supple
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/ ,PMC6437863,Santalum album,Fig 1,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/ ,PMC6417135,Citrus,Supple S1,Cstps1,,https://europepmc.org/articles/PMC6417135/bin/12870_2019_1701_MOESM3_ESM.docx
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/ ,PMC6393351,Vitis vinifera,Fig 6 Table 1 Supple Table 2,Fig 3 4 Supple Fig 2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/ ,PMC6352525,Ocimum species,Fig 1 Table 1 Supple Table S3,TPS1 is a cis-_-terpineol synthase,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/ ,PMC6850102,C. stoebe,Fig 3 Supple Table S1,Fig 3,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/ ,PMC6299004,Populus trichocarpa,Fig 2,Fig 1 5,,useless supple
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156593/ ,PMC6156593,,Fig 2 4 S3,Table S1,Dictyostelids,https://europepmc.org/articles/PMC6156593/bin/41598_2018_32639_MOESM1_ESM.pdf
https://doi.org/10.1007/s00425-018-3006-7 ,PMID: 30218384,Lilium ‘Siberia’ ,LoTPS1 forms (Z)-_-ocimene and (±)-linalool,LoTPS3 generate (±)-linalool and cis-nerolidol,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/ ,PMC6117411,R. tomentosa,"RtTPS1 and RtTPS3 are also active with FPP, producing _-caryophyllene, along with a smaller amount of _-humulene",,,https://europepmc.org/articles/PMC6117411/bin/Data_Sheet_2.XLSX
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/ ,PMC6289780,Salvia guaranitica,Table 4,Table 4,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/ ,PMC6124719,P. tuberosa,"1,8-cineol",PtTPS1,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/ ,PMC6140472,M. histrionica,"(1S,6S,7R)-1,10-bisaboladien-1-ol (sesquipiperitol)",MhTPS (MhIDS-1,insect,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/ ,PMC6102311,Camellia hiemalis,valerianol,ChTps1,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/ ,PMC6020762,Amomum villosum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/ ,PMC6093421,Freesia x hybrida ,Table S3 S4,,,https://europepmc.org/articles/PMC6093421/bin/ery224_suppl_supplementary_tables_and_figures.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5876372/ ,PMC5876372,Lilium ‘Siberia’,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5842272/ ,PMC5842272,,,,Review,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/ ,PMC6131416,rice,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/ ,PMC5777610,Ocimum basilicum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777606/ ,PMC5777606,Solanum lycopersicum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703079/ ,PMC5703079,Lycopersicon esculentum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5684173/ ,PMC5684173,Daucus carota,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/ ,PMC5700130,Salvia officinalis,,,,
https://doi.org/10.1007/s00425-017-2801-x ,PMID: 29075872,Camelina sativa,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5681606/ ,PMC5681606,Arabidopsis thaliana,,,,
https://doi.org/10.1111/pce.13088 ,PMID: 29044662,Gossypium hirsutum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/ ,PMC5853461,sweet orange,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/ ,PMC5573811,Citrus sinensis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568196/ ,PMC5568196,Citrus reticulata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562797/ ,PMC5562797,Pinus contorta,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576791/ ,PMC5576791,Nicotiana attenuata,,,,
https://doi.org/10.1111/pce.13029 ,PMID: 28722114,Prunus persica ,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850473/ ,PMC5850473,Arabidopsis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/ ,PMC5471912,champak,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/ ,PMC5404360,Salvia miltiorrhiza,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/ ,PMC5395458,Zea mays,,,,
https://doi.org/10.1111/pce.12959 ,PMID: 28370092,P. lunatus,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6154332/ ,PMC6154332,J. sambac,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/ ,PMC5341033,Murraya koenigii,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333544/ ,PMC5333544,Persicaria minor,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289981/ ,PMC5289981,Rice,,,,
https://doi.org/10.1016/j.plantsci.2016.11.013 ,PMID: 28167035,Jasminum sambac,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/ ,PMC5122590,Arabidopsis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087002/ ,PMC5087002,Plants,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087028/ ,PMC5087028,D. discoideum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5362686/ ,PMC5362686,"soybean, apple",,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/ ,PMC4861830,Artemisia annua,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/ ,PMC5301923,citrus,,,,
https://doi.org/10.1111/ppl.12241 ,AGR: IND601259759,Lavandula pedunculata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295635/ ,PMC5295635,Maize,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801258/ ,PMC4801258,Brassica juncea,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/ ,PMC4757406,,,,fungus,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/ ,PMC4709469,Osmanthus fragrans,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737078/ ,PMC4737078,Vitis vinifera,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/ ,PMC4737073,Vitis vinifera,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645219/ ,PMC4645219,Camellia sinensis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595271/ ,PMC4595271,Vitis vinifera,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/ ,PMC4472261,Hedychium coronarium,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445982/ ,PMC4445982,Ocimum sanctum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/ ,PMC4473991,C. odorata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415311/ ,PMC4415311,Phaseolus lunatus,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4397498/ ,PMC4397498,Nicotiana attenuata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/ ,PMC4347605,Achillea millefolium,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4506461/ ,PMC4506461,Arabidopsis thaliana,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4375501/ ,PMC4375501,,,,fungus,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/ ,PMC4232691,Mentha spicata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/ ,PMC4197230,Populus trichocarpa,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/ ,PMC4172859,Oryza,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/ ,PMC4190577,Nicotiana attenuata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMID: 24943828/ ,PMID: 24943828,Lavandula,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032488/ ,PMC4032488,Solanum lycopersicum,,,,
https://doi.org/10.1007/s10529-014-1533-2 ,PMID: 24752813,Solanum lycopersicum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/ ,PMC3790869,G. max,,,,
https://doi.org/10.1016/j.phytochem.2013.09.009 ,PMID: 24074555,Gossypium hirsutum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/ ,PMC3694093,plants,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3650682/ ,PMC3650682,Selaginella,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668260/ ,PMC3668260,Pinus,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3638147/ ,PMC3638147,Vaccinium macrocarpon,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3635961/ ,PMC3635961,A. sinensis,,,,
https://doi.org/10.1105/tpc.112.100057 ,PMID: 23512856,Arabidopsis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570303/ ,PMC3570303,maize,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/ ,PMC3525583,ginger and turmeric,,,,
https://doi.org/10.1104/pp.112.208249 ,PMID: 23256150,Apple,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437839/ ,PMC3437839,Selaginella moellendorffii,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/ ,PMC3423072,chamomile,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3466413/ ,PMC3466413,Solanum habrochaites,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/ ,PMC3268506,Arabidopsis,,,table compounds and TPS,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/ ,PMC3346232,Alstroemeria,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/ ,PMC3295389,Actinidia chinensis,,,,
https://doi.org/10.1111/j.1365-313x.2011.04771.x ,PMID: 21880075,"sorghum, grass",,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/ ,PMC3193516,Tomato,,,,
https://doi.org/10.1016/j.phytochem.2011.03.014 ,PMID: 21492885,Populus trichocarpa,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093818/ ,PMC3093818,Santalum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/ ,PMC3058080,Picea spp.,,,,
https://doi.org/10.1104/pp.110.154864 ,PMID: 20463089,Arabidopsis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892144/ ,PMC2892144,Arabidopsis thaliana,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798659/ ,PMC2798659,,1 compound,1 tps,fungus,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/ ,PMC2710562,Medicago truncatula,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2718223/ ,PMC2718223,Actinidia deliciosa,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705607/ ,PMC2705607,tomato,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/ ,PMC2687518,Arabidopsis lyrata,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/ ,PMC2459234,Pinus,,,,
https://doi.org/10.1104/pp.104.050187 ,PMID: 15618433,Picea sitchensis,,,,
https://doi.org/10.1104/pp.104.042028 ,PMID: 15310829,Picea abies,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/ ,PMC2756395,Medicago truncatula,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/ ,PMC1876254,Lycopersicon esculentum,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22624/ ,PMC22624,Abies grandis,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835961/ ,PMC2835961,Actinidia deliciosa,,,,
https://doi.org/10.1111/j.1399-3054.2009.01315.x ,PMID: 20002329,lavender,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634321/ ,PMC2634321,M. truncatula,,,Review,
,,,,,,
,,"OsTPS46 in rice leads to increased emission of D-limonene and (E)-_-farnesene, by which the aphid Rhopalosiphum padi is deterred (Sun et al., 2017",,,,
,,,HcTPS1 and HcTPS3 produces eucalyptol and _-ocimene,HcTPS10 produces ocimene and _-farnesene,https://link.springer.com/article/10.1186/s12864-015-1653-7 ,
