LINKS,PMCID,Plant,Compound,TPS nomenclature,blank means mentioned,,", "
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/ ,PMC4861830,Artemisia annua,"AaTPS2 produced _-myrcene, AaTPS5 produced camphene and AaTPS6 producerd 1,8-cineole",,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/ ,PMC4473991,C. odorata,"CoTPS1 synthesized _-thujene, sabinene, _-pinene, and _-terpinene from geranyl pyrophosphate and CoTPS4 produced geraniol from geranyl pyrophosphate","CoTPS3 catalysed the conversion of farnesyl pyrophosphate to _-bergamotene, whereas CoTPS2 catalyse the synthesis of _-ylangene, _-copaene, and _-cubebene",,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/ ,PMC6850102,C. stoebe,Fig 3 Supple Table S1,Fig 3,"CsTPS1 catalysed the formation of __muurolene, and CsTPS4 produced (E)___caryophyllene and humulene. CsTPS5 produced daucadiene",Suppli,
https://doi.org/10.1007/s00425-017-2801-x ,PMID: 29075872,Camelina sativa,CsTPS1 is monoterpene synthase,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/ ,PMC6102311,Camellia hiemalis,valerianol,ChTps1,,Suppli,ChTps1 encodes valerianol synthase
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ ,PMC7062797,Camellia sinensis,Fig 6,Fig 5,,Suppli,"UV-B Induces Flavonoid, and Terpenoids Pathways"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ ,PMC7072466,Camellia sinensis,Table 3,Fig 5D,,Suppli,Integrative Transcriptomic and Metabolic Analyses
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ ,PMC6976640,Camellia sinensis,Fig 4 6,Ph Fig 2 3 5 Table 1 supple table S2 S3,"Under the treatments of cold acclimation, salt and polyethylene glycol, CsTPS67, -69 and -71 were all suppressed",Suppli,Analysis of abiotic stress responsive TPSs
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ ,PMC7013532,Camellia sinensis,Fig 6,Fig 5,"TPS2 is involved in the biosynthesis _-farnesene, _-ocimene and _-farnesene in C. sinensis plants",Suppli,Scenarios of Genes-to-Terpenoids Network
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ ,PMC6995508,Camellia sinensis,Fig 6,txt,,Suppli,Characterization of TPS from Tea
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/ ,PMC6747315,Camellia sinensis,Fig 2 3 5,"(E)-_-ocimene synthase in Antirrhinum majus belongs to the TPS-g subfamily [39], (E)-_-farnesene synthase in Mentha _ piperita belongs to the TPS-a subfamily [40], _-farnesene synthase in Pinus taeda and (E,E)-_-farnesene synthase in Picea abies belong to the TPS-d1 subfamily [38,41], and MdAFS coding (E,E)-_-farnesene synthase in Malus domestica belongs to the TPS-b subfamily",,Suppli,Formation of _-Farnesene in Tea
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/ ,PMC6742361,Cannabis sativa,Fig 3,Fig 4 6 7,,Suppli,Genomic characterization of TPS family
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/ ,PMC3423072,chamomile,"(-)-(E)-_-caryophyllene (MrTPS1), (+)-germacrene A (MrTPS3), (E)-_-ocimene (MrTPS4) and (-)-germacrene D (MrTPS5), MrTPS2 formed several Asteraceae-specific tricyclic sesquiterpenes with (-)-_-isocomene being the major produc",,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/ ,PMC5471912,champak,McTPS1 is a mono-TPS.,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ ,PMC6796385,Chilo auricilius,Table 1,Fig S1,,Suppli,Characterizing potential repelling volatiles
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ ,PMC7419205,Chimonanthus praecox,S17 S18 Suppl note1,Fig 5 Table S10 S19,"CpTPS42 catalyzed the formation of nerolidol, CpTPS4 _-pinene and CpTPS9 produces linalool ",Suppli,genome 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ ,PMC7356763,Chimonanthus praecox,Fig 6 7 8 9,txt,,Suppli,CpMYC2 and CpbHLH13 of wintersweet regulate biosynthesis of linalool and sesquiterpene (_-caryophyllene)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ ,PMC7293187,Cinnamomum burmannii,S4 S19,Fig S2 Data S17,,Suppli,candidate genes in borneol biosynthesis
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/,PMC8255067,Cinnamomum camphora,"3 monoterpene synthase genes (CcTPS1, CcTPS3, CcTPS4) highly correlated with D-borneol, camphor, and bornyl acetate",ph supple,,Suppli,analysis of the transcriptome and terpenoid metabolome
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ ,PMC6941020,Cinnamomum porrectum.,Table 1,Fig 5 6 7,,Suppli,Transcriptome Sequencing and Different Chemotype Expression Profile Analysis of Genes Related to Monoterpenoid
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ ,PMC6945444,citrus,Fig 5 S10 Table 1 S1 S3 S5,Table S10,,Suppli,Transcriptomic and metabolomic analyses
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/ ,PMC6417135,Citrus,Supple S1,Cstps1,,Suppli,Deficiency of valencene is associated with deletion in the promoter region of the valencene synthase gene
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/ ,PMC5301923,citrus,CsTPS1 is associated with the synthesis of (+)-valencene,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/ ,PMC6680504,Citrus medica,Fig 2 Table S1 Fig S4,Fig 4 6 8 9,,Suppli,Integration of Metabolite Profiling and Transcriptome Analysis
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/ ,PMC5573811,Citrus sinensis,CsSesquiTPS3 coded for a functional _-farnesene synthase,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7982956/,PMC7982956,Citrus sinensis ,fig 4 5 7,AtTPS21,,Suppli,Engineered Orange Ectopically Expressing the Arabidopsis _-Caryophyllene Synthase
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/ ,PMC5853461,sweet orange,CitTPS16 involved in the synthesis of E-geraniol,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ ,PMC7180759,Clematis florida,Fig 1 2 Table 1,Fig 4 5 6 7,table,Suppli,Composition and Biosynthesis of Scent Compounds
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ ,PMC7206992,Coriandrum sativum,Table S49,Fig 6 7,,Suppli,genome
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/ ,PMC6679452,Cymbidium goeringii,Table 1 Fig 1,Fig 5,,Suppli,RNA sequencing analyses
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ ,PMC7705728,Daucus carota,Supple S1,"DcTPS54 produces sabinene, DcTPS04 produces _-terpineol, sabinene, _-limonene, _-pinene and myrcene.",,Suppli,carrot monoterpene synthase gene cluster
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ ,PMC7305226,Daucus carota ,Fig 1 4 5 Suppl,Table 1 Ph Fig 2 Supple,,Suppli,functionally characterized 19 TPS in carrot
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/ ,PMC6524965,Dictyostelium discoideum,Fig 2,Fig 7,"DdTPS8 catalyzes the formation of a sesquiterpene discoidol,",Suppli,A DdTPS8-CYP521A1 cluster in Dictyostelium discoideum produces a novel trisnorsesquiterpene
https://doi.org/10.1016/j.plantsci.2020.110549 ,AGR: IND606995189,Ficus carica,"FcTPS6 catalyzing the formation of 1,8-cineole, germacrene D (FcTPS1), E-_-caryophyllene (FcTPS2), cadinene (FcTPS3) and _-elemene (FcTPS5) while one sesquiterpene synthase FcTPS4 from the TPS-b clade showed nerolidol synthase",Ph fig Supple,Supple S3,NA,Characterization of TPS in Ficus
https://doi.org/10.1016/j.plantsci.2020.110549 ,PMID: 32771161,Ficus carica,TPSs involved in fly interaction with Fig,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ ,PMC7698779,Freesia hybrida,Table 2,txt fig 4,,Suppli,Volatile Compounds and Gene Expression
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/ ,PMC6093421,Freesia x hybrida ,Table S3 S4,FhTPS1 catalyzed the formation of linalool,"TPSs usually divided into 7 clades, designated as TPS-a, TPS-b, TPS-c, TPS-d, TPS-e/f, TPS-g, and TPS-h",Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/ ,PMC3790869,G. max,GmNES is a nerol synthase gene in soybean,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/ ,PMC3525583,ginger and turmeric,"identification of 25 mono- and 18 sesquiterpene synthases from ginger and turmeric, with 13 and 11, respectively, being functionally characterized. ",,,Suppli,
https://doi.org/10.1111/pce.13088 ,PMID: 29044662,Gossypium hirsutum,Fig 3 Supple Table S3,"GhTPS12 produce linalool, GhTPS10 was shown to produce _-cadinene, GhTPS5 and GhTPS6 catalyzed the formation of the single product _-myrcene from GPP as substrate, whereas GhTPS4 and GhTPS12 produced only linalool, GhTPS4 formed exclusively (3R)-linalool,  GhTPS14 and GhTPS15 accepted both FPP and GGPP to produce (E)-nerolidol and (E,E)-geranyllinalool, respectively",,NA,
https://doi.org/10.1016/j.phytochem.2013.09.009 ,PMID: 24074555,Gossypium hirsutum,"GhTPS1 and GhTPS2 produces _-caryophyllene and guaia-1(10),11-diene",GhTPS3 is a monoterpene synthase,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/ ,PMC4472261,Hedychium coronarium,HcTPS6 was capable of generating _-farnesene,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ ,PMC7815096,HmelOS produces (E)-_-ocimene,fig 3,Fig Supple,Heliconius butterflies,Suppli,A novel terpene synthase controls pheromone production
https://doi.org/10.1093/pcp/pcaa100 ,PMID: 32726442,Lathyrus odoratus,"LoTPS4, LoTPS3, LoTPS8 and LoTPS7 biosynthesised monoterpenes and sesquiterpenes",LoTPS12 belonging to the TPS-g showed linalool/nerolidol synthase activity,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/ ,PMC6632208,Lavandula angustifolia,"Among these volatile chemicals, cis-3-hexen-1-ol and 1,8-cineole were found to significantly attract C. ciliata, whereas trans- _-caryophyllene repelled this insect pest",Fig 8,,Suppli,"CYP76C1, which was co-expressed with TPS10 and TPS14, was also identified as a major linalool metabolizing Boachon et al., 2015"
https://doi.org/10.1111/j.1399-3054.2009.01315.x ,PMID: 20002329,lavender,"LaLIMS (limonene synthase), LaLINS (linalool synthase)",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ ,PMC6804824,Lilium,Supple Table 1 2,Fig 1 Supple fig 2,,Suppli,Volatile composition and classification of Lilium flower aroma types and mono TPSs
https://doi.org/10.1007/s00425-018-3006-7 ,PMID: 30218384,Lilium ‘Siberia’ ,LoTPS1 forms (Z)-_-ocimene and (±)-linalool,LoTPS3 generate (±)-linalool and cis-nerolidol,,NA,LoTPS1 forms (Z)-_-ocimene and (±)-linalool
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ ,PMC7125107,Litsea cubeba,Supple Table 18 29,Fig 5 Supple Table 30 31 33,,Suppli,genome
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/ ,PMC1876254,Lycopersicon esculentum,"LeMTS1 protein produced (R)-linalool from geranyl diphosphate (GPP) and (E)-nerolidol from farnesyl diphosphate (FPP), while recombinant LeMTS2 produced beta-phellandrene, beta-myrcene, and sabinene from GPP",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/ ,PMC6140472,M. histrionica,"(1S,6S,7R)-1,10-bisaboladien-1-ol (sesquipiperitol)",MhTPS (MhIDS-1,insect,Suppli,"MhTPS (MhIDS-1) catalyzes the formation of (1S,6S,7R)-1,10-bisaboladien-1-ol (sesquipiperitol) in murgantiol biosynthesis"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/ ,PMC6592883,Mbr3882 catalyzed the formation of (E)-_-farnesene,Fig 4 5 6,Fig 1,fungi,Suppli,TPS Genes Originated from Bacteria 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/ ,PMC2710562,Medicago truncatula,MtEBOS encodes (E)-beta-ocimene synthase,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/ ,PMC2756395,Medicago truncatula,MtTPS1 to be a beta-caryophyllene synthase and MtTPS5 to be a multi-product sesquiterpene synthase. MtTPS3 encodes a bifunctional enzyme producing (E)-nerolidol and geranyllinalool ,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/ ,PMC4232691,Mentha spicata,"MsTPS1 catalysed the formation of _-caryophyllene, MsTPS2 is most likely to be _-copaene synthase",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/ ,PMC5341033,Murraya koenigii,"MkTPS1 produced (-)-sabinene, MkTPS2 formed (E,E)-_-farnesene",,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ ,PMC7015852,N. colorata,Supple,Fig 4 Ph Fig 7,,Suppli,genome
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/ ,PMC6642400,Nicotiana attenuata,All fig,,,NA,variation in (S)-(+)-linalool
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/ ,PMC4190577,Nicotiana attenuata,"ZmTPS10 produces (E)-_-bergamotene and (E)-_-farnesene,",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/ ,PMC5777610,Ocimum basilicum,MonoTPS3 and MonoTPS5 correspond to MYS (_-myrcene synthase) and TES (terpinolene synthase) genes,SesTPS3 gene in our study correspond to ZIS (_-zingiberene synthase) gene,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/ ,PMC6352525,Ocimum species,Fig 1 Table 1 Supple Table S3,TPS1 is a cis-_-terpineol synthase,,NA,"Terpene profiling, transcriptome analysis and characterization of cis-_-terpineol synthase"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/ ,PMC4172859,Oryza,"activities DAS, ECS and EGS",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/ ,PMC6131416,rice,OsTPS19 functions as an (S)_limonene synthase,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/,PMC8224800,Rice.,_-farnesene (EBF) is the major product of the OsSTPS2 gene.,,,Suppli,Sesquiterpene Plays Roles in Antixenosis against Brown Planthopper
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/ ,PMC4709469,Osmanthus fragrans,"OfTPS1 and OfTPS2 exclusively produced _-linalool, OfTPS3 produced trans-_-ocimene while OfTPS4 produced _-farnesene.",,,Suppli,
https://doi.org/10.1111/pce.12959 ,PMID: 28370092,P. lunatus,Recombinant PlTPS3 was able to convert geranyl diphosphate and farnesyl diphosphate to linalool and (E)-nerolidol,"Pltps4 produced (S)-linalool, DMNT and (E,E)-4,8,12-trimethyl-1,3,7,11-tridecatetraene (TMTT)",,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/ ,PMC6124719,P. tuberosa,"1,8-cineol",PtTPS1,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ ,PMC6761604,Panicum virgatum,Fig 6,Ph Fig 3 Fig 7 Table 1 Supple Table 2,"volatile emissions include PvTPS03 [(E)-_-bisabolene synthase], PvTPS10 (_-patchoulene synthase), PvTPS17, and PvTPS20 [(E)-_-bisabolene synthases], and TPS53 (geraniol synthase). Emission of germacrene D from roots may be associated with PvTPS55",Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/,PMC8318001,Phalaenopsis bellina,PbTPS3 linalool/(_)-cis-ocimene synthase,PbTPS4 a linalool synthase,,Suppli,In planta
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/ ,PMC3058080,Picea spp.,TABLE 3,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/ ,PMC2459234,Pinus,"(E)-beta-caryophyllene and alpha-humulene (PsTPS 1), 1(10),5-germacradiene-4-ol (PsTPS 2), and longifolene and alpha-longipinene (PsTPS 3)",,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/ ,PMC6598649,Plants,Fig 2 S2 Fig,,,Suppli,non-structural protein NSs of Tomato spotted wilt orthotospovirus suppresses the biosynthesis of monoterpenes
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/ ,PMC3694093,plants,"For maize, these include TPS23 and TPS4, which are involved in (E)-(1R,9S)-caryophyllene and (E)-_-farnesene biosynthesis respectively",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/ ,PMC6678411,Platanus acerifolia,,Fig S3 Table S8,,Suppli,Changes in Gene Expression and Metabolite Profiles
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ ,PMC7332032,Plectranthus amboinicus,Table 1 Fig 3 4,Fig 5,PamTps1 was classified as a linalool/nerolidol synthase,Suppli,"new TPS from Plectranthus:isolation, heterologous expression and functional characterization"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ ,PMC7417412,Poaceae,Table 1 Fig 3 4,Fig 1 5 Table 1,,Suppli,"Based on their sequence similarity, terpene synthases from land plants can be divided into different subfamilies, TPS-a to TPS-h."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/ ,PMC6531464,Populus nigra,PnTPS3 product as an (E)-_-ocimene synthase was confirmed by cloning and heterologous expression of the PtTPS6 orthologue from P. trichocarpa,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ ,PMC7866031,Populus trichocarpa,"(1S,5S,7R,10R)-guaia-4(15)-en-11-ol and (1S,7R,10R)-guaia-4-en-11-ol, (1S,5S,7R,10R)-guaia-4(15)-en-11-ol, (1S,7R,10R)-guaia-4-en-11-ol, hedycaryol",PtTPS5,,Suppli,Sesquiterpene Synthase
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/ ,PMC6299004,Populus trichocarpa,Fig 2,Fig 1 5,"PnTPS4 was found to produce 1,8-cineole",Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/ ,PMC4197230,Populus trichocarpa,"monoterpene synthases (MTS) (PtTPS6, PtTPS12, PtTPS13, PtTPS15), six sesquiterpene synthases (STS) (PtTPS5, PtTPS7, PtTPS8, PtTPS9, PtTPS11, PtTPS14) and a diterpene synthase (DTS) (PtTPS10).",PtTPS6 formed (E)-_-ocimene,"PtTPS13 made five monoterpenes including _-pinene, _-pinene, sabinene, 1,8-cineole and _-terpineol",NA,
https://doi.org/10.1016/j.phytochem.2011.03.014 ,PMID: 21492885,Populus trichocarpa,"PtTPS1 and PtTPS2 accepted only farnesyl diphosphate and produced (-)-germacrene D and (E,E)-_-farnesene",PtTPS3 and PtTPS4 showed both mono- and sesquiterpene synthase activity,,NA,
https://doi.org/10.1111/pce.13029 ,PMID: 28722114,Prunus persica ,"PpTPS1 produced linalool, while PpTPS2 was responsible for (E,E)-_-farnesene",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/ ,PMC6117411,R. tomentosa,"RtTPS1 and RtTPS3 are also active with FPP, producing _-caryophyllene, along with a smaller amount of _-humulene",,,Suppli,"RtTPS1-4 mainly produce (+)-_-pinene and (+)-_-pinene, as well as small amounts of (-)-_-pinene and (-)-_-pinene with GPP"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/ ,PMC6289780,Salvia guaranitica,Table 4,Table 4,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ ,PMC7154873,Salvia hispanica,txt,Ph Fig 6,,Suppli,Tissue-Specific Transcriptome and Identification of Genes Involved in Terpenoid
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/ ,PMC5404360,Salvia miltiorrhiza,"SmSTPS1, SmSTPS2, and SmSTPS3 reported function as (-)-5-epieremophilene synthase in vitro, and the SmSTPS1 synthesize (-)-5-epieremophilene",,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/ ,PMC5700130,Salvia officinalis,,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/ ,PMC6437863,Santalum album,Fig 1,,,Suppli,Identification and functional characterization of 3 TPSs
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ ,PMC7497057,Setaria italica,Fig 2 3 4 6 7,Fig 1a 8 S1 S2,,Suppli,foxtail millet (Setaria italica) terpene synthase gene family
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ ,PMC8222033,Solanum habrochaites,"Z-prenyltransferase (zFPS) and Santalene and Bergamotene Synthase (SBS), which produce _-santalene, _-bergamotene, and _-bergamotene in LA1777",txt,,"Suppli, not",Introgression of the sesquiterpene biosynthesis
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952643/ ,PMC7952643,Solanum lycopersicum,"TPS5, TPS7, and TPS19/20, encoding enzymes that synthesize linalool, _-myrcene, limonene, and _-phellandrene were highly expressed in the resistant",Table 2a,,Suppli,"A transcriptome analysis, volatile profile upon mite infestation"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ ,PMC7422722,Solanum lycopersicum,S2 S16,Ph Fig 1 2 Table S3 S7,,Suppli,complete functional characterisation of TPSs
https://doi.org/10.1007/s10529-014-1533-2 ,PMID: 24752813,Solanum lycopersicum,"tomato terpene synthases, TPS5/37/39, catalyze the formation of linalool or nerolidol",,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/ ,PMC3193516,Tomato Table 2,SlTPS9 produced germacrene,"SlTPS12 and ShTPS12 both made curcumene and _-bisabolene from (Z,Z)-FPP, SlTPS17 and ShTPS17 made various bisabolenes",,Suppli,
https://doi.org/10.1111/j.1365-313x.2011.04771.x ,PMID: 21880075,"sorghum, grass","SbTPS1 and SbTPS2 produced the major products zingiberene, b-bisabolene and b-sesquiphellandrene",SbTPS3 produced (E)-a-bergamotene and (E)-b-farnesene. SbTPS4 formed (E)-b-caryophyllene. SbTPS5 produced mostly (E)-a-bergamotene and (Z)-c-bisabolene,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ ,PMC7696289,Stevia rebaudiana,S1,Ph Fig S2,"root-specific SrTPS4 and SrTPS5 catalyzed the formation of _-curcumene/zingiberene/_-sesquiphellandrene and _-longipinene/_-himachalene/himachalol as multifunctional sesqui-TPSs, respectively.",Suppli,"SrTPS5 predominantly formed himachalol, _-himachalene, and _-longipinene"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ ,PMC7321343,Vitis,Table S1 Fig S3,txt,,Suppli,Effect of Thidiazuron on Terpene Volatile
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/ ,PMC6393351,Vitis vinifera,Fig 6 Table 1 Supple Table 2,Fig 3 4 Supple Fig 2,VvivMATPS10 synthesized (E)-_-farnesene,Suppli,Linking TPS to Sesquiterpene in flowers
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/ ,PMC4737073,Vitis vinifera,VvGuaS encode VvPNSeInt selinene-type sesquiterpenes,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/ ,PMC6543703,Zanthoxylum piperitum,Fig 2 3 Supple S1,ZpTPS3 encodes a monoterpene synthase for formation of _-phellandrene in the epithelial cells,,NA,Isolation and functional characterization of mono and sesqui TPSs
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968207/,PMC7968207,Zea mays,"TPS23 controlls (E)-_-caryophyllene,  TPS2 and TPS3, related to linalool synthesis",supple table5,table 2,Suppli,Transcriptomic and volatile signatures associated with maize defense against corn leaf aphid.
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/ ,PMC5395458,Zea mays,TPS23 is (E)_caryophyllene synthase ,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ ,PMC7890063,,fig 1 2,Ph fig 2 3,mushroom,Suppli,characterization of mushroom linalool synthases
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ ,PMC6902781,,Fig 1,Fig 2 Ph Fig 4,Physarum polycephalum,Suppli,Emission and biosynthesis of volatile terpenoids
